@relation population

@attribute ano_retrasado NUMERIC
@attribute ano_passado NUMERIC
@attribute ano_atual NUMERIC

@data
210, 650, 932
650, 932, 299
932, 299, 832
299, 832, 595
832, 595, 981
595, 981, 123
981, 123, 412
123, 412, 972
412, 972, 158
972, 158, 514
158, 514, 1010
514, 1010, 10
1010, 10, 11
10, 11, 14
11, 14, 26
14, 26, 72
26, 72, 242
72, 242, 722
242, 722, 830
722, 830, 600
830, 600, 977
600, 977, 136
977, 136, 452
136, 452, 996
452, 996, 64
996, 64, 213
64, 213, 658
213, 658, 922
658, 922, 330
922, 330, 881
330, 881, 460
881, 460, 1000
460, 1000, 50
1000, 50, 164
50, 164, 530
164, 530, 1008
530, 1008, 16
1008, 16, 35
16, 35, 108
35, 108, 363
108, 363, 924
363, 924, 325
924, 325, 873
325, 873, 482
873, 482, 1007
482, 1007, 23
1007, 23, 60
23, 60, 198
60, 198, 622
198, 622, 960
622, 960, 200
960, 200, 625
200, 625, 957
625, 957, 211
957, 211, 651
211, 651, 930
651, 930, 304
930, 304, 840
304, 840, 575
840, 575, 993
575, 993, 76
993, 76, 256
76, 256, 753
256, 753, 774
753, 774, 731
774, 731, 815
731, 815, 638
815, 638, 945
638, 945, 254
945, 254, 748
254, 748, 783
748, 783, 713
783, 713, 845
713, 845, 560
845, 560, 1000
560, 1000, 49
1000, 49, 161
49, 161, 523
161, 523, 1009
523, 1009, 13
1009, 13, 21
13, 21, 52
21, 52, 170
52, 170, 548
170, 548, 1004
548, 1004, 32
1004, 32, 98
32, 98, 330
98, 330, 880
330, 880, 463
880, 463, 1001
463, 1001, 45
1001, 45, 143
45, 143, 472
143, 472, 1004
472, 1004, 33
1004, 33, 99
33, 99, 334
99, 334, 886
334, 886, 446
886, 446, 993
446, 993, 75
993, 75, 253
75, 253, 746
253, 746, 787
746, 787, 703
787, 703, 861
703, 861, 517
861, 517, 1010
517, 1010, 11
1010, 11, 13
11, 13, 21
13, 21, 55
21, 55, 180
55, 180, 575
180, 575, 993
575, 993, 76
993, 76, 256
76, 256, 751
256, 751, 777
751, 777, 725
777, 725, 825
725, 825, 612
825, 612, 968
612, 968, 169
968, 169, 546
169, 546, 1005
546, 1005, 31
1005, 31, 90
31, 90, 306
90, 306, 843
306, 843, 566
843, 566, 997
566, 997, 60
997, 60, 200
60, 200, 625
200, 625, 957
625, 957, 210
957, 210, 649
210, 649, 932
649, 932, 297
932, 297, 829
297, 829, 604
829, 604, 975
604, 975, 146
975, 146, 481
146, 481, 1007
481, 1007, 24
1007, 24, 64
24, 64, 214
64, 214, 660
214, 660, 920
660, 920, 336
920, 336, 889
336, 889, 436
889, 436, 988
436, 988, 97
988, 97, 326
97, 326, 875
326, 875, 476
875, 476, 1005
476, 1005, 28
1005, 28, 81
28, 81, 273
81, 273, 785
273, 785, 708
785, 708, 854
708, 854, 538
854, 538, 1007
538, 1007, 22
1007, 22, 59
22, 59, 197
59, 197, 618
197, 618, 963
618, 963, 188
963, 188, 596
188, 596, 980
596, 980, 125
980, 125, 418
125, 418, 976
418, 976, 140
976, 140, 464
140, 464, 1001
464, 1001, 44
1001, 44, 141
44, 141, 465
141, 465, 1002
465, 1002, 42
1002, 42, 134
42, 134, 446
134, 446, 993
446, 993, 75
993, 75, 253
75, 253, 745
253, 745, 788
745, 788, 700
788, 700, 865
700, 865, 506
